,filename,survey,order_in_survey,base_name,text,Flesch_reading,trustworthy,lively,natural,boring,empathetic,respectful,cold,attractive,polite,engaging
170,9_F_intensity_medium_pitch_medium_rate_medium.wav,7,9,9_F_intensity_medium_pitch_medium_rate_medium,9,95.67,-0.22395049441532025,0.3618667916816357,0.7912542452560467,-0.30338444946051535,-0.3931463777415646,0.3618667916816357,0.6102262864901138,0.10290898007434217,-0.47411387470449534,0.9607499118591536
171,10_F_intensity_medium_pitch_medium_rate_fast.wav,7,10,10_F_intensity_medium_pitch_medium_rate_fast,10,94.66,-0.5741743365074975,-0.4728801160636221,-0.05502495465203725,-0.6433097580307396,-0.5744741197843599,-0.9823010912369531,0.11417092867420701,-0.4731798993404846,-0.3952500464991239,-0.7318379276709156
172,1_M_intensity_medium_pitch_low_rate_medium.wav,7,11,1_M_intensity_medium_pitch_low_rate_medium,1,79.77,0.023175241752284637,0.29396512879926673,0.5325962169256157,-0.5538476130265529,-0.14632042485082208,-0.2242502776921827,0.36280076704564646,-0.21545584637406426,-0.7436700031106043,-0.13448834941113347
173,2_M_intensity_x-loud_pitch_medium_rate_slow.wav,7,12,2_M_intensity_x-loud_pitch_medium_rate_slow,2,88.74,0.10290898007434217,0.035007317191973274,0.7912542452560467,-0.812505641356984,-0.5741743365074975,0.03377355855110005,0.4525626953266956,-0.22395049441532025,0.36340033359937135,-0.22518425305619347
174,3_M_intensity_medium_pitch_low_rate_medium.wav,7,13,3_M_intensity_medium_pitch_low_rate_medium,3,98.21,0.024708783670020284,-0.06505314461102892,0.01257692495346916,0.10263863651138086,-0.3142825495361932,-1.0705294776002667,-0.3155163081770665,-0.056558496569772965,-0.48471219150331074,0.09354442191639997
175,4_M_intensity_x-loud_pitch_high_rate_slow.wav,7,14,4_M_intensity_x-loud_pitch_high_rate_slow,4,87.72,0.6123299552476732,0.03407334182796249,0.45162871996268483,-0.813105207910709,0.1041427387152154,0.37369886712132433,0.7915540285329092,0.3739986503981868,-0.06598711997503967,0.3739986503981868
176,5_M_intensity_medium_pitch_medium_rate_medium.wav,7,15,5_M_intensity_medium_pitch_medium_rate_medium,5,95.17,0.03377355855110005,0.46346079540237356,0.19267090835539138,-1.083895094957691,0.023175241752284637,0.29273137015839357,-0.13418856613427105,0.44283428864456653,0.2824328366364406,0.551689181765687
177,6_M_intensity_x-soft_pitch_high_rate_slow.wav,7,16,6_M_intensity_x-soft_pitch_high_rate_slow,6,97.7,0.10290898007434217,0.20450298379507997,0.9607499118591536,-0.4731798993404846,0.45162871996268483,0.46222703676150034,0.19267090835539138,0.6326566787286179,0.5325962169256157,0.6326566787286179
178,7_M_intensity_medium_pitch_low_rate_fast.wav,7,17,7_M_intensity_medium_pitch_low_rate_fast,7,95.67,-0.7436700031106043,-0.6420759993898664,-0.05502495465203725,-0.9823010912369531,-0.9131656697137108,-0.9823010912369531,0.11387114539734458,-0.4728801160636221,-0.5744741197843599,-0.4731798993404846
179,8_M_intensity_medium_pitch_medium_rate_slow.wav,7,18,8_M_intensity_medium_pitch_medium_rate_slow,8,92.12,0.27240464667744896,0.3739986503981868,1.1302455784622603,-0.30431842482452615,-0.405912428545264,0.46222703676150034,0.36216657495849813,0.2842367221171376,0.19297069163225383,0.8021523453317245
180,9_M_intensity_medium_pitch_high_rate_medium.wav,7,19,9_M_intensity_medium_pitch_high_rate_medium,9,95.67,0.35126847488282026,0.7806559284572312,-0.14632042485082208,-0.5635760197086821,-0.3155163081770665,0.11263738675647139,0.36310055032250893,0.09354442191639997,0.611460045130987,0.023175241752284637
181,10_M_intensity_medium_pitch_high_rate_slow.wav,7,20,10_M_intensity_medium_pitch_high_rate_slow,10,94.66,-0.06628690325190212,0.20450298379507997,0.6223581452066649,-0.6542078581064175,-0.2476146452946975,0.3618667916816357,-0.045960179770957524,0.10290898007434217,0.36340033359937135,-0.39438013638243774
182,9_F_intensity_medium_pitch_high_rate_fast.wav,7,21,9_F_intensity_medium_pitch_high_rate_fast,9,95.67,-0.7330716863117888,0.035307100468835714,0.023175241752284637,0.11293717003333384,-0.48471219150331074,-0.22395049441532025,-0.13418856613427105,0.29396512879926673,-0.14602064157395964,-0.06505314461102892
183,1_M_intensity_x-loud_pitch_medium_rate_slow.wav,7,22,1_M_intensity_x-loud_pitch_medium_rate_slow,1,79.77,0.36216657495849813,0.8021523453317245,0.7020918835287224,-1.2412589028442464,0.19297069163225383,-0.046259963047819964,0.7020918835287224,0.6326566787286179,0.2739381885951846,0.29273137015839357
184,5_F_intensity_x-loud_pitch_high_rate_medium.wav,7,23,5_F_intensity_x-loud_pitch_high_rate_medium,5,95.17,0.4310022132048778,0.5325962169256157,0.7915540285329092,-0.9820013079600907,-0.40497845318125314,0.19237112507852894,0.4525626953266956,0.8603896667792889,0.6105260697669762,0.44283428864456653
185,2_M_intensity_medium_pitch_medium_rate_slow.wav,7,24,2_M_intensity_medium_pitch_medium_rate_slow,2,88.74,0.5313624582847425,0.6329564620054804,0.70179210025186,-1.4104547861704908,-0.14602064157395964,-0.04719393841183077,0.023175241752284637,0.11474105551403087,0.36340033359937135,0.6326566787286179
186,4_F_intensity_x-soft_pitch_medium_rate_slow.wav,7,25,4_F_intensity_x-soft_pitch_medium_rate_slow,4,87.72,0.023175241752284637,-0.22395049441532025,0.36310055032250893,-0.7233432796296595,-0.39648380513999726,-0.30491799137825104,-0.06535292788789135,-0.30615175001912426,0.45286247860355805,-0.6533379479897312
187,3_M_intensity_x-loud_pitch_high_rate_slow.wav,7,26,3_M_intensity_x-loud_pitch_high_rate_slow,3,98.21,-0.06658668652876457,0.035007317191973274,0.7912542452560467,-0.15661895837277512,-0.40497845318125314,-0.30521777465511346,-0.044726421130084314,0.36280076704564646,-0.39438013638243774,-0.14632042485082208
188,3_F_intensity_medium_pitch_low_rate_fast.wav,7,27,3_F_intensity_medium_pitch_low_rate_fast,3,98.21,-0.2357825698550089,-0.4728801160636221,-0.3846517297003086,-0.824637500073535,-1.252791195007073,0.012876708230331602,0.28336681200045133,-0.14478688293308645,0.11293717003333384,0.01257692495346916
